Artist,Artist_ID,Genre,Follower,Singer_image
Key Glock,0RESbWvOMyua0yuyVrztJ5,"['memphis hip hop', 'rap', 'southern hip hop', 'tennessee hip hop', 'trap']",1817404,https://i.scdn.co/image/ab6761610000e5eba2659061f6b86ac03eef836a
SZA,7tYKF4w9nC0nq9CsPZTHyP,"['pop', 'r&b', 'rap']",16436041,https://i.scdn.co/image/ab6761610000e5eb0895066d172e1f51f520bc65
Ava Max,4npEfmQ6YuiwW1GpUmaq3F,['pop'],6327070,https://i.scdn.co/image/ab6761610000e5ebd6e40d1e248369882f53d863
Tory Lanez,2jku7tDXc6XoB6MO2hFuqg,"['canadian hip hop', 'canadian trap', 'melodic rap', 'pop rap', 'r&b', 'rap', 'trap']",6253110,https://i.scdn.co/image/ab6761610000e5ebbd5d3e1b363c3e26710661c3
Lil Yachty,6icQOAFXDZKsumw3YXyusw,"['atl hip hop', 'melodic rap', 'rap', 'trap']",9532923,https://i.scdn.co/image/ab6761610000e5eb86c7c38d4c8c461dba55035c
Eslabon Armado,0XeEobZplHxzM9QzFQWLiR,"['corrido', 'corridos tumbados', 'sad sierreno', 'sierreno']",5089280,https://i.scdn.co/image/ab6761610000e5eb114fc6846b9f0e0746baa6a7
Ozzy Osbourne,6ZLTlhejhndI4Rh53vYhrY,"['album rock', 'alternative metal', 'birmingham metal', 'classic rock', 'glam metal', 'hard rock', 'metal', 'rock']",5182969,https://i.scdn.co/image/ab6761610000e5ebb5b52f7e13f720c7a4856306
Pop Smoke,0eDvMgVFoNV3TpwtrVCoTj,"['brooklyn drill', 'rap']",13407104,https://i.scdn.co/image/ab6761610000e5eb597f9edd2cd1a892d4412b09
NLE Choppa,0ErzCpIMyLcjPiwT4elrtZ,"['memphis hip hop', 'rap']",7258970,https://i.scdn.co/image/ab6761610000e5ebcc5865053e7177aeb0c26b62
The Strokes,0epOFNiUfyON9EYx7Tpr6V,"['alternative rock', 'garage rock', 'modern rock', 'permanent wave', 'rock']",5353725,https://i.scdn.co/image/ab6761610000e5ebcaea403b29f6a09260b6a18a
Miley Cyrus,5YGY8feqx7naU7z4HrwZM6,['pop'],22929311,https://i.scdn.co/image/ab6761610000e5ebb5af3b38f053486ab0784dee
Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,"['dance pop', 'pop', 'uk pop']",42526085,https://i.scdn.co/image/ab6761610000e5ebb6fff4b133bd150337490935
Bryson Tiller,2EMAnMvWE2eb56ToJVfCWs,"['kentucky hip hop', 'r&b', 'rap']",7757650,https://i.scdn.co/image/ab6761610000e5eb078fdd734b7f0aa782328428
Halsey,26VFTg2z8YR0cCuwLzESi2,"['electropop', 'etherpop', 'indie poptimism', 'pop']",21276105,https://i.scdn.co/image/ab6761610000e5ebd707e1c5177614c4ec95a06c
XXXTENTACION,15UsOTVnJzReFVN1VCnxy4,"['emo rap', 'miami hip hop', 'rap']",43812307,https://i.scdn.co/image/ab6761610000e5ebf0c20db5ef6c6fbe5135d2e4
Jack Harlow,2LIk90788K0zvyj2JJVwkJ,"['deep underground hip hop', 'kentucky hip hop', 'pop rap', 'rap']",3264638,https://i.scdn.co/image/ab6761610000e5eb2aab40ce03f3fa86163f78bb
Lee Brice,5Zq7R5qmi58ByYyBQTlNuk,"['contemporary country', 'country', 'country road', 'modern country rock']",2194595,https://i.scdn.co/image/ab6761610000e5ebdda79571deaba197ad4793e2
Powfu,6bmlMHgSheBauioMgKv2tn,"['sad lo-fi', 'sad rap']",1238937,https://i.scdn.co/image/ab6761610000e5eb8e33a1f8941447de4926f4d7
Cardi B,4kYSro6naA4h99UJvo89HB,"['pop', 'rap']",22892500,https://i.scdn.co/image/ab6761610000e5ebb06326b1297d8aa321832805
Thundercat,4frXpPxQQZwbCu3eTGnZEw,"['afrofuturism', 'escape room', 'indie soul']",1236220,https://i.scdn.co/image/ab6761610000e5eb299e78573ac6393aa9079d19
Sleep Miracle,5Sw5q4pL5JDz22cOeoqxNS,"['color noise', 'sleep', 'white noise']",1914,https://i.scdn.co/image/ab67616d0000b273e876fddcc7bfc02b9aa5a36c
Giveon,4fxd5Ee7UefO4CUXgwJ7IP,['r&b'],3391362,https://i.scdn.co/image/ab6761610000e5eb0219b6643b1ec449b0951bfe
Lil Durk,3hcs9uc56yIGFCSy9leWe7,"['chicago drill', 'chicago rap', 'drill', 'hip hop', 'rap', 'trap']",6738382,https://i.scdn.co/image/ab6761610000e5eba0461c1f2218374aa672ce4e
Migos,6oMuImdp5ZcFhWP0ESe6mG,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'trap']",13685916,https://i.scdn.co/image/ab6761610000e5ebf4593f7b778219838d858c34
Muscadine Bloodline,0EyZDKtc41e4A3a3v69MxD,['modern country pop'],223944,https://i.scdn.co/image/ab6761610000e5eba4ac0ece14f727e09f6277f9
Dan + Shay,7z5WFjZAIYejWy0NI5lv4T,"['contemporary country', 'country', 'country road']",3104196,https://i.scdn.co/image/ab6761610000e5eb2447af13925471ebb858bfe1
Gwen Stefani,4yiQZ8tQPux8cPriYMWUFP,"['dance pop', 'pop']",6360150,https://i.scdn.co/image/ab6761610000e5eb9b52aeefcda4110690fb8831
TV Girl,0Y6dVaC9DZtPNH4591M42W,['pov: indie'],4344266,https://i.scdn.co/image/ab67616d0000b27332f5fec7a879ed6ef28f0dfd
HARDY,5QNm7E7RU2m64l6Gliu8Oy,"['contemporary country', 'modern country pop']",636792,https://i.scdn.co/image/ab6761610000e5eb49fd87fcc0a12855f9ca8763
Jelly Roll,19k8AgwwTSxeaxkOuCQEJs,"['country rap', 'nashville hip hop', 'tennessee hip hop']",2887959,https://i.scdn.co/image/ab6761610000e5eb94d27c850cdf2ff37fa6db15
Beach Bunny,2vnB6tuQMaQpORiRdvXF9H,"['bubblegrunge', 'chicago indie', 'indie pop', 'pov: indie']",1266284,https://i.scdn.co/image/ab6761610000e5ebbf42b607fb398365296230b0
Noah Kahan,2RQXRUsr4IW1f3mKyKsy4B,['pov: indie'],1779708,https://i.scdn.co/image/ab6761610000e5eb7bfba04955b666b8b8219541
Coyote Theory,48vmXfV0QPy3ljXBp81Fwn,['pov: indie'],137077,https://i.scdn.co/image/ab6761610000e5ebed139050a076e221ac255ca1
Selena Gomez,0C8ZW7ezQVs4URX5aX7Kqx,"['pop', 'post-teen pop']",47231355,https://i.scdn.co/image/ab6761610000e5eb0c8eb928813cd06614c0710d
Gracie Abrams,4tuJ0bMpJh08umKkEXKUI5,['alt z'],1415690,https://i.scdn.co/image/ab6761610000e5eb416bd8a66bfcbc545c2009ac
The Neighbourhood,77SW9BnxLY8rJ0RciFqkHh,"['modern alternative rock', 'modern rock', 'pop', 'pov: indie']",14695892,https://i.scdn.co/image/ab6761610000e5ebdf0b5ac84376a0a4b2166816
blackbear,2cFrymmkijnjDg9SS92EPM,['pop'],4911313,https://i.scdn.co/image/ab6761610000e5eb4f7d049994ac00ed885bfbf2
Lil Uzi Vert,4O15NlyKLIASxsJ0PrXPfz,"['hip hop', 'melodic rap', 'philly rap', 'rage rap', 'rap']",16399421,https://i.scdn.co/image/ab6761610000e5eb1234d2f516796badbdf16a89
Sam Hunt,2kucQ9jQwuD8jWdtR9Ef38,"['contemporary country', 'country', 'country pop', 'modern country rock']",2312505,https://i.scdn.co/image/ab6761610000e5ebcf3c2fdcf8db021111d6da29
THE ANXIETY,64H8UqGLbJFHwKtGxiV8OP,['modern alternative pop'],164634,https://i.scdn.co/image/ab6761610000e5eb9a34535a8a1881e125b2eee5
$NOT,5IbEL2xjRtKsunfmsahLuO,"['aesthetic rap', 'cloud rap', 'florida rap', 'underground hip hop']",1453965,https://i.scdn.co/image/ab6761610000e5eba6f393c48d85bd0ccd56b4d1
Tems,687cZJR45JO7jhk1LHIbgq,"['afro r&b', 'alte', 'nigerian pop']",1378702,https://i.scdn.co/image/ab6761610000e5eb3c67a8b793f5b3a9d52a493f
Money Man,3Rx4PJ7SP6unkOk5elPUK7,"['memphis hip hop', 'southern hip hop', 'trap']",579799,https://i.scdn.co/image/ab6761610000e5eb524841cc9f6a1dd66671d5b1
Adelmar Borrego,5bdLiUDd0rIMAkT1y6zLaE,['instrumental lullaby'],2276,https://i.scdn.co/image/ab6761610000e5eb902dd29ac49e834d1913e40f
Internet Money,6MPCFvOQv5cIGfw3jODMF0,"['pop rap', 'trap']",771148,https://i.scdn.co/image/ab6761610000e5eb30cc15d302e22803fcb5ad34
Mariah Carey,4iHNK0tOyZPYnBU7nGAgpQ,"['dance pop', 'pop', 'urban contemporary']",9598946,https://i.scdn.co/image/ab6761610000e5eb21b66418f7f3b86967f85bce
Machine Gun Kelly,6TIYQ3jFPwQSRmorSezPxX,"['ohio hip hop', 'pop rap']",5178619,https://i.scdn.co/image/ab6761610000e5ebeabbcceb4f3622a80728d437
Wiz Khalifa,137W8MRPWKqSmrBGDBFSop,"['hip hop', 'pittsburgh rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",11216754,https://i.scdn.co/image/ab6761610000e5eb2cdddc4dd42f7403f0d7bb9c
Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,['pop'],95615146,https://i.scdn.co/image/ab6761610000e5ebcdce7620dc940db079bf4952
G Herbo,5QdEbQJ3ylBnc3gsIASAT5,"['chicago drill', 'chicago rap', 'drill', 'trap']",1990696,https://i.scdn.co/image/ab6761610000e5eb3841d7b1105afed2dad3ca24
Jay Wheeler,2cPqdH7XMvwaBJEVjheH8g,"['reggaeton', 'trap latino', 'urbano latino']",3669191,https://i.scdn.co/image/ab6761610000e5eb1c6f4471ff8e91660a7dc158
Mac Miller,4LLpKhyESsyAXpc4laK94U,"['hip hop', 'pittsburgh rap', 'pop rap', 'rap']",9876801,https://i.scdn.co/image/ab6761610000e5ebed3b89aa602145fde71a163a
Victoria Monét,63XBtGSEZINSyXylZxEUbv,['alternative r&b'],870593,https://i.scdn.co/image/ab6761610000e5eb149ebd20c454545fc4fb7487
Grupo Firme,1dKdetem2xEmjgvyymzytS,"['musica mexicana', 'norteno', 'sierreno']",11612217,https://i.scdn.co/image/ab6761610000e5ebf7c96239ac530b917cb0c27d
DJ Scheme,1m7LSAMIB1BErIHYSOn32W,['viral rap'],263513,https://i.scdn.co/image/ab6761610000e5ebc76b01ba8f2a8a124df29690
wave to earth,5069JTmv5ZDyPeZaCCXiCg,['korean city pop'],1453282,https://i.scdn.co/image/ab6761610000e5ebc3c28df50abf70a11d9f8063
