artist_name,track_name,track_id,track_popularity,artist_id,artist_popularity,artist_genres,artist_followers
Jelly Roll,Son Of A Sinner,6ngGiVX91DRmGDH4G5EgeO,76,19k8AgwwTSxeaxkOuCQEJs,75,"['country rap', 'nashville hip hop', 'tennessee hip hop']",2894839
Russ,3:15 (Breathe),0dGqP4VickYjtIaB5VOt4H,83,1z7b1Pr1rSlvWRzsW3HOrS,74,"['hawaiian hip hop', 'pop rap']",5013238
Taylor Swift,You Belong With Me (Taylor’s Version),1qrpoAMXodY6895hGKoUpA,85,06HL4z0CvFAxyc27GXpf02,100,['pop'],96509805
Ed Sheeran,Shivers,50nfwKoDiSYg8zOCREWAm5,86,6eUKZXaKkcviH0Ku9w2n3V,87,"['pop', 'singer-songwriter pop', 'uk pop']",115283525
Chayce Beckham,23,1ZpPaBDswjV3VSUKqLDXPE,78,5ujvZU2thXjZgFKPUt1rDt,59,['modern country pop'],87630
Taylor Swift,Wildest Dreams (Taylor's Version),1Ov37jtRQ2YNAe8HzfczkL,82,06HL4z0CvFAxyc27GXpf02,100,['pop'],96509805
Olivia Rodrigo,happier,2tGvwE8GcFKwNdAXMnlbfl,86,1McMsnEElThX1knmY4oliG,87,['pop'],31086285
Laufey,Let You Break My Heart Again,709p9UGPAuyImWf1Z3vjRo,80,7gW0r5CkdEUMm42w9XpyZO,79,['gen z singer-songwriter'],2452676
Doja Cat,Woman,6Uj1ctrBOjOas8xZXGqKk4,85,5cj0lLjcoR7YOSnhnX0Po5,87,"['dance pop', 'pop']",27823181
Drake,Yebba’s Heartbreak,1PDP7mLiAMwhfmgIwzhOm2,82,3TVXtAsR1Inumwj472S9r4,96,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",83173873
Nature Of Sweden,Slumber Rain,2pUhY7tWx8egpw2qn84iSi,80,7kgwMm8d2igABad4wfEKti,58,['rain'],1102
Olivia Rodrigo,brutal,6SRsiMl7w1USE4mFqrOhHC,80,1McMsnEElThX1knmY4oliG,87,['pop'],31086285
Cody Johnson,'Til You Can't,4k3lPl8YTKuY8c1HelVnm3,76,6zLBxLdl60ekBLpawtT63I,73,"['classic texas country', 'contemporary country']",1056610
Migos,Need It (feat. YoungBoy Never Broke Again),1cMMVJ4FDqhCci9efd1BU6,77,6oMuImdp5ZcFhWP0ESe6mG,75,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'trap']",13653102
INTERWORLD,METAMORPHOSIS,2ksyzVfU0WJoBpu8otr4pz,86,5hKGLu4Ik88FzWcTPhWNTN,70,['phonk brasileiro'],606692
